,model_number,brand,name,type,displacement
0,0E71,BMW, M1000RR,スポーツ/ツアラー,1000.0
1,0J51,BMW, R1250GS,オフロード/モタード,1250.0
2,0K11,BMW, F900R ABS,ネイキッド,900.0
3,0L11,BMW, R18 Classic,アメリカン/クルーザー,1800.0
4,1290 SUPER DUKE GT,KTM,1290 SUPER DUKE GT,ネイキッド,1290.0
5,1290SDV3949,KTM, 1290ｽｰﾊﾟｰﾃﾞｭｰｸR ,ネイキッド,1290.0
6,1JN,YAMAHA, SR500,ネイキッド,500.0
7,1JR,YAMAHA, SR4002,ネイキッド,400.0
8,1KT,YAMAHA, TZR250,スポーツ/ツアラー,250.0
9,250EXC-F,KTM, 250EXCF,オフロード/モタード,250.0
10,27V,YAMAHA, JOG,スクーター/ビッグスクーター,50.0
11,29L,YAMAHA, RZ250RR,スポーツ/ツアラー,250.0
12,2AJ-JF84,HONDA,  PCX HYBRID,スクーター/ビッグスクーター,125.0
13,2AJ-JK06,HONDA, PCX e:HEV,スクーター/ビッグスクーター,125.0
14,2BH-AA06,HONDA, ｸﾛｽｶﾌﾞ50,ネイキッド,50.0
15,2BH-AA09,HONDA, ｽｰﾊﾟｰｶﾌﾞ50,ネイキッド,50.0
16,2BH-AF77,HONDA, ｼﾞｮﾙﾉ,スクーター/ビッグスクーター,50.0
17,2BH-AF79,HONDA, ﾀｸﾄﾍﾞｰｼｯｸ,スクーター/ビッグスクーター,50.0
18,2BH-AY01,YAMAHA, JOG,スクーター/ビッグスクーター,50.0
19,2BH-AY02,YAMAHA, Vino,スクーター/ビッグスクーター,50.0
20,2BH-CA4AA,SUZUKI, ﾚｯﾂ,スクーター/ビッグスクーター,50.0
21,2BH-SA57J,YAMAHA, ｼﾞｮｸﾞ,スクーター/ビッグスクーター,50.0
22,2BH-SA58J,YAMAHA, JOG ZR,スクーター/ビッグスクーター,50.0
23,2BH-SA59J,YAMAHA, VINO,スクーター/ビッグスクーター,50.0
24,2BH-TA03,HONDA, GYRO CANOPY,スクーター/ビッグスクーター,50.0
25,2BH-TD02,HONDA, ｼﾞｬｲﾛX,スクーター/ビッグスクーター,50.0
26,2BH-UA08J,YAMAHA, GEAR,スクーター/ビッグスクーター,50.0
27,2BJ-BR125H,KAWASAKI, Z125PRO,ネイキッド,125.0
28,2BJ-CE47A,SUZUKI, ｱﾄﾞﾚｽ110,スクーター/ビッグスクーター,110.0
29,2BJ-DL32B,SUZUKI, GSXS125,ネイキッド,125.0
30,2BJ-DL33B,SUZUKI, GSXR125 ABS,スポーツ/ツアラー,125.0
31,2BJ-DT11A,SUZUKI, ｱﾄﾞﾚｽ125,スクーター/ビッグスクーター,125.0
32,2BJ-DV12B,SUZUKI, ｽｲｯｼｭ,スクーター/ビッグスクーター,125.0
33,2BJ-JA09,HONDA, ﾍﾞﾝﾘｨ110,スクーター/ビッグスクーター,110.0
34,2BJ-JA42,HONDA, ｽｰﾊﾟｰｶﾌﾞ110ﾌﾟﾛ,ネイキッド,110.0
35,2BJ-JA44,HONDA, ｽｰﾊﾟｰｶﾌﾞ110,ネイキッド,110.0
36,2BJ-JA45,HONDA, ｸﾛｽｶﾌﾞ110,ネイキッド,110.0
37,2BJ-JA48,HONDA, ｽｰﾊﾟｰｶﾌﾞC125,ネイキッド,125.0
38,2BJ-JA55,HONDA, CT125ﾊﾝﾀｰｶﾌﾞ,ネイキッド,125.0
39,2BJ-JB02,HONDA, ﾓﾝｷｰ125,ネイキッド,125.0
40,2BJ-JB03,HONDA, ﾓﾝｷｰ125,ネイキッド,125.0
41,2BJ-JC75,HONDA, ｸﾞﾛﾑ,オフロード/モタード,125.0
42,2BJ-JC79,HONDA, CB125R,ネイキッド,125.0
43,2BJ-JC92,HONDA, ｸﾞﾛﾑ,オフロード/モタード,125.0
44,2BJ-JF45,HONDA, ﾘｰﾄﾞ125,スクーター/ビッグスクーター,125.0
45,2BJ-JF81,HONDA, PCX125,スクーター/ビッグスクーター,125.0
46,2BJ-JK03,HONDA, DIO110,スクーター/ビッグスクーター,110.0
47,2BJ-JK05,HONDA, PCX125,スクーター/ビッグスクーター,125.0
48,2BJ-SED6J,YAMAHA, NMAX,スクーター/ビッグスクーター,125.0
49,2BJ-SED7J,YAMAHA, AXIS Z,スクーター/ビッグスクーター,125.0
50,2BJ-SED8J,YAMAHA, ｼｸﾞﾅｽXSR,スクーター/ビッグスクーター,125.0
51,2BK-CH41A,SUZUKI, ﾊﾞｰｸﾞﾏﾝ200,スクーター/ビッグスクーター,200.0
52,2BK-DG31J,YAMAHA, ｾﾛｰ250,オフロード/モタード,250.0
53,2BK-DG32J,YAMAHA, Tricker,オフロード/モタード,250.0
54,2BK-DN11A,SUZUKI, GSX250R,スポーツ/ツアラー,250.0
55,2BK-DS11A,SUZUKI, Vｽﾄﾛｰﾑ250,オフロード/モタード,250.0
56,2BK-ED13N,SUZUKI, ｼﾞｸｻｰ150,ネイキッド,150.0
57,2BK-ED22B,SUZUKI, ｼﾞｸｻｰ250,ネイキッド,250.0
58,2BK-EX250P,KAWASAKI, NINJA250,スポーツ/ツアラー,250.0
59,2BK-KF30,HONDA, PCX150,スクーター/ビッグスクーター,150.0
60,2BK-KF38,HONDA, ADV150,スクーター/ビッグスクーター,150.0
61,2BK-KF47,HONDA, PCX160,スクーター/ビッグスクーター,160.0
62,2BK-LE250D,KAWASAKI, ﾍﾞﾙｼｽX250,ネイキッド,250.0
63,2BK-LX230A,KAWASAKI, KLX230,オフロード/モタード,230.0
64,2BK-MC49,HONDA, ﾚﾌﾞﾙ250,アメリカン/クルーザー,250.0
65,2BK-MC51,HONDA, CBR250RR,スポーツ/ツアラー,250.0
66,2BK-MC52,HONDA, CB250R,ネイキッド,250.0
67,2BK-MD44,HONDA, CRF250 RALLY,オフロード/モタード,250.0
68,2BK-MD47,HONDA, CRF250L,オフロード/モタード,250.0
69,2BK-MF13,HONDA, ﾌｫﾙﾂｧ,スクーター/ビッグスクーター,250.0
70,2BK-MF15,HONDA, ﾌｫﾙﾂｧ,スクーター/ビッグスクーター,250.0
71,2BK-NG4BG,SUZUKI, GIXXER 150,ネイキッド,150.0
72,2BK-RG43J,YAMAHA, YZFR25,スポーツ/ツアラー,250.0
73,2BK-SG37J,YAMAHA, ﾄﾘｼﾃｨ155,スクーター/ビッグスクーター,155.0
74,2BK-SG42J,YAMAHA, XMAX,スクーター/ビッグスクーター,250.0
75,2BK-SG50J,YAMAHA, NMAX155,スクーター/ビッグスクーター,155.0
76,2BK-SG52J,YAMAHA, ﾏｼﾞｪｽﾃｨS,スクーター/ビッグスクーター,155.0
77,2BK-ZX250E,KAWASAKI, Ninja ZX25R,スポーツ/ツアラー,250.0
78,2BL-1M00,Ducati, Monster +  937 ,ネイキッド,937.0
79,2BL-790DUKE,KTM, 790DUKE,ネイキッド,790.0
80,2BL-AC00,Ducati, Multistrada 1260S,スポーツ/ツアラー,1260.0
81,2BL-C40AA,BMW, C400GT,スクーター/ビッグスクーター,400.0
82,2BL-C533F,SUZUKI, GSXS750,ネイキッド,750.0
83,2BL-C65AA,BMW, C650 Sport,スクーター/ビッグスクーター,650.0
84,2BL-C733A,SUZUKI, Vｽﾄﾛｰﾑ650XT,オフロード/モタード,650.0
85,2BL-CDJ900,Triumph, Tiger 900 GT Pro,オフロード/モタード,900.0
86,2BL-DGJ900,Triumph, ｽﾄﾘｰﾄｽｸﾗﾝﾌﾞﾗｰ,ネイキッド,900.0
87,2BL-DHJ1200,Triumph, ｽﾋﾟｰﾄﾞﾂｲﾝ1200,ネイキッド,1200.0
88,2BL-DM09J,YAMAHA, Tenere 700 ABS,オフロード/モタード,700.0
89,2BL-DM11G,SUZUKI, GSXR1000R ABS,スポーツ/ツアラー,1000.0
90,2BL-DU11A,SUZUKI, BURGMAN 400 ABS,スクーター/ビッグスクーター,400.0
91,2BL-EJ800B,KAWASAKI, W800,ネイキッド,800.0
92,2BL-EN650G,KAWASAKI, ﾊﾞﾙｶﾝS,アメリカン/クルーザー,650.0
93,2BL-ER650H,KAWASAKI, NINJA650,スポーツ/ツアラー,650.0
94,2BL-EX400G,KAWASAKI, NINJA400,スポーツ/ツアラー,400.0
95,2BL-F85AA,BMW, F750GS,オフロード/モタード,850.0
96,2BL-F90AA,BMW, F900XR ABS,スポーツ/ツアラー,900.0
97,2BL-FA00,Ducati, ｽﾄﾘｰﾄﾌｧｲﾀｰV4,ネイキッド,1100.0
98,2BL-FLC,Harley-Davidson,  FLTRX1750Road Glide Special,アメリカン/クルーザー,1750.0
99,2BL-FLL,Harley-Davidson, FLTRXSE1920CVOﾛｰﾄﾞｸﾞﾗｲﾄﾞ,アメリカン/クルーザー,1920.0
100,2BL-FLP,Harley-Davidson, FLTRXS ﾛｰﾄﾞｸﾞﾗｲﾄﾞ ｽﾍﾟｼｬﾙ,アメリカン/クルーザー,1870.0
101,2BL-G31AA,BMW, G310GS,オフロード/モタード,310.0
102,2BL-GT79B,SUZUKI, GSXS1000F,ネイキッド,1000.0
103,2BL-H4J765,Triumph, Street Triple RS,ネイキッド,765.0
104,2BL-HAJ660,Triumph, ｽﾄﾘｰﾄﾄﾘﾌﾟﾙS,ネイキッド,765.0
105,2BL-HJ1200B,Triumph, ﾎﾞﾝﾈﾋﾞﾙ,ネイキッド,1200.0
106,2BL-KB01,Ducati, ｽｸﾗﾝﾌﾞﾗｰ,ネイキッド,803.0
107,2BL-LUJ660,Triumph, TRIDENT 660,ネイキッド,660.0
108,2BL-MH00,Ducati, Monster 821,ネイキッド,820.0
109,2BL-NC42,HONDA, CB400 SUPER FOUR HYPER VTEC Revo,ネイキッド,400.0
110,2BL-NC47,HONDA, CBR400R,スポーツ/ツアラー,400.0
111,2BL-NC56,HONDA, CBR400R,スポーツ/ツアラー,400.0
112,2BL-NC59,HONDA, GB350,ネイキッド,350.0
113,2BL-PC40,HONDA, CBR600RR,スポーツ/ツアラー,600.0
114,2BL-PC60,HONDA, ﾚﾌﾞﾙ500,ネイキッド,500.0
115,2BL-R12JB,BMW, RnineTｱｰﾊﾞﾝG,ネイキッド,1170.0
116,2BL-R12MA,BMW, R1250GS,オフロード/モタード,1250.0
117,2BL-R12MB,BMW, R1250R,ネイキッド,1200.0
118,2BL-R187A,BMW, R18 First Edition,アメリカン/クルーザー,1800.0
119,2BL-R9T7A,BMW, RnineTｱｰﾊﾞﾝG,ネイキッド,1170.0
120,2BL-RC80,HONDA, VFR800Xｸﾛｽﾗﾝﾅｰ,ネイキッド,800.0
121,2BL-RC83,HONDA, CB650F,スポーツ/ツアラー,650.0
122,2BL-RC88,HONDA, NC750S,ネイキッド,750.0
123,2BL-RC90,HONDA, NC750X,ネイキッド,750.0
124,2BL-RC95,HONDA, XADV,スクーター/ビッグスクーター,750.0
125,2BL-RH03,HONDA, CBR650R,スポーツ/ツアラー,650.0
126,2BL-RH13J,YAMAHA, YZFR3,ネイキッド,320.0
127,2BL-RH16J,YAMAHA, SR400,ネイキッド,400.0
128,2BL-RM19J,YAMAHA, MT07,ネイキッド,700.0
129,2BL-RM22J,YAMAHA, XSR700,ネイキッド,700.0
130,2BL-RN50J,YAMAHA, MT10,ネイキッド,1000.0
131,2BL-RN51J,YAMAHA, ﾄﾚｰｻｰ900GT,ネイキッド,850.0
132,2BL-RN52J,YAMAHA, MT09,ネイキッド,900.0
133,2BL-RN56J,YAMAHA, XSR900,ネイキッド,900.0
134,2BL-RN58J,YAMAHA, NIKENﾅｲｹﾝABS,ネイキッド,850.0
135,2BL-S10AA,BMW, S1000RR,スポーツ/ツアラー,1000.0
136,2BL-S10CA,BMW, S1000RR,スポーツ/ツアラー,1000.0
137,2BL-SC54,HONDA, CB1300ｽｰﾊﾟｰﾎﾞﾙﾄﾞｰﾙ,ネイキッド,1300.0
138,2BL-SC65,HONDA, CB1100RS,ネイキッド,1100.0
139,2BL-SC77,HONDA, CBR1000RR,スポーツ/ツアラー,1000.0
140,2BL-SC79,HONDA, GOLDWING Tour Dual Clutch Trunsmission <AIRBAG>  GL1800 ,スポーツ/ツアラー,1800.0
141,2BL-SC80,HONDA, CB1000R,ネイキッド,1000.0
142,2BL-SC82,HONDA, CBR1000RRR,スポーツ/ツアラー,1000.0
143,2BL-SD10,HONDA, CRF1100Lｱﾌﾘｶﾂｲﾝ,オフロード/モタード,1100.0
144,2BL-SEC1J,YAMAHA, TRICITY 125,スクーター/ビッグスクーター,125.0
145,2BL-SJ15J,YAMAHA, TMAX530,スクーター/ビッグスクーター,530.0
146,2BL-STJ,Harley-Davidson, FLFB1750,アメリカン/クルーザー,1750.0
147,2BL-STK,Harley-Davidson, Softail Breakout  FXBRS1870 ,アメリカン/クルーザー,1870.0
148,2BL-VA01,Ducati, Super Sport 950S,スポーツ/ツアラー,937.0
149,2BL-VN09J,YAMAHA, BOLT,アメリカン/クルーザー,950.0
150,2BL-VP55B,SUZUKI, SV650X,ネイキッド,650.0
151,2BL-XL2,Harley-Davidson, Sportster 883 Iron  XL883N ,アメリカン/クルーザー,883.0
152,2BL-XL3,Harley-Davidson, XL1200NS,アメリカン/クルーザー,1200.0
153,2BL-ZR900B,KAWASAKI, Z900 ﾖｼﾑﾗﾁﾀﾝ,ネイキッド,900.0
154,2BL-ZR900C,KAWASAKI, Z900RS,ネイキッド,950.0
155,2BL-ZRT00K,KAWASAKI, Z,アメリカン/クルーザー,1000.0
156,2BL-ZX636G,KAWASAKI, Ninja ZX6R,スポーツ/ツアラー,600.0
157,2BL-ZXT00W,KAWASAKI, NINJA1000,スポーツ/ツアラー,1000.0
158,2BL-ZXT02A,KAWASAKI, NINJA,スポーツ/ツアラー,1000.0
159,2BL-ZXT02E,KAWASAKI, Ninja ZX10R KRT Edition,スポーツ/ツアラー,1000.0
160,2BL-ZXT02J,KAWASAKI, Ninja H2 Carbon,スポーツ/ツアラー,1000.0
161,2BL-ZXT02K,KAWASAKI, NINJA1000SX,スポーツ/ツアラー,1000.0
162,2H6,YAMAHA, SR400 34F0 ,ネイキッド,400.0
163,2JL,YAMAHA, TW200,オフロード/モタード,200.0
164,2LT,YAMAHA, VMAX,ネイキッド,1200.0
165,2TV,YAMAHA, SDR200,ネイキッド,200.0
166,2WE,YAMAHA, VMAX1200,ネイキッド,1200.0
167,374,YAMAHA, GT80,オフロード/モタード,80.0
168,390DUKEJGJ42,KTM, 390DUKE,ネイキッド,390.0
169,390DUKEJPJ42,KTM, 390 DUKEﾊﾞｰｴﾝﾄﾞ,ネイキッド,390.0
170,3BH/3ST,YAMAHA, XT500,オフロード/モタード,500.0
171,3DM,YAMAHA, XV250Sﾋﾞﾗｰｺﾞ,アメリカン/クルーザー,250.0
172,3M8,YAMAHA, GT80,オフロード/モタード,80.0
173,3VN,YAMAHA, SRX400,ネイキッド,400.0
174,3XC,YAMAHA, R1Z,ネイキッド,250.0
175,3YX,YAMAHA, ZEAL,ネイキッド,250.0
176,4G0,YAMAHA, XJ400D,ネイキッド,400.0
177,4GY,YAMAHA, TT250R RAID,オフロード/モタード,250.0
178,4HM,YAMAHA, XJR400RⅡ,ネイキッド,400.0
179,4JG,YAMAHA, ｾﾛｰ225WE,オフロード/モタード,225.0
180,4L3,YAMAHA, RZ250,ネイキッド,250.0
181,4RF,YAMAHA, XV125ﾋﾞﾗｰｺﾞ,アメリカン/クルーザー,125.0
182,4TP,YAMAHA, DT230ﾗﾝﾂｧ,オフロード/モタード,230.0
183,4TR,YAMAHA, Drag Star 400,アメリカン/クルーザー,400.0
184,4U1,YAMAHA, QA50,ネイキッド,50.0
185,701SPUBV47,Husqvarna, SVARTPILEN 701,ネイキッド,692.0
186,7G,Harley-Davidson, Low Rider  FXS80 ,アメリカン/クルーザー,1340.0
187,8BJ-DL32D,SUZUKI, GSXS125,ネイキッド,125.0
188,8BJ-EA12J,SUZUKI, AVENISｱｳﾞｪﾆｽ125,スクーター/ビッグスクーター,125.0
189,8BJ-JA58,HONDA, ｽｰﾊﾟｰｶﾌﾞC125,ネイキッド,125.0
190,8BJ-JA59,HONDA, ｽｰﾊﾟｰｶﾌﾞ110,ネイキッド,110.0
191,8BJ-JA61,HONDA, ｽｰﾊﾟｰｶﾌﾞ110PRO ﾋﾞｼﾞﾈｽﾕｰｽｶﾌﾞ,ネイキッド,110.0
192,8BJ-JA65,HONDA, CT125ﾊﾝﾀｰｶﾌﾞ,ネイキッド,125.0
193,8BJ-JB04,HONDA, DAX125,ネイキッド,125.0
194,8BJ-JC91,HONDA, CB125R,ネイキッド,125.0
195,8BJ-JK03,HONDA, DIO110,スクーター/ビッグスクーター,110.0
196,8BJ-JK12,HONDA, ﾘｰﾄﾞ125,スクーター/ビッグスクーター,125.0
197,8BJ-SEG6J,YAMAHA, NMAX,スクーター/ビッグスクーター,125.0
198,8BJ-SEJ4J,YAMAHA, ｼｸﾞﾅｽｸﾞﾘﾌｧｽ,スクーター/ビッグスクーター,125.0
199,8BJ-SEJ5J,YAMAHA, JOG 125,スクーター/ビッグスクーター,125.0
200,8BK-EX250Y,KAWASAKI, Ninja 250 KRT Edition,スポーツ/ツアラー,250.0
201,8BK-MC57,HONDA, CL250,ネイキッド,250.0
202,8BK-MF17,HONDA, ﾌｫﾙﾂｧ277km,スクーター/ビッグスクーター,250.0
203,8BK-RG74J,YAMAHA, YZFR25,ネイキッド,250.0
204,8BK-SG70J,YAMAHA, XMAX,スクーター/ビッグスクーター,250.0
205,8BK-SG79J,YAMAHA, X,スクーター/ビッグスクーター,155.0
206,8BL-EF11M,SUZUKI, Vｽﾄﾛｰﾑ1050XT,スポーツ/ツアラー,1050.0
207,8BL-EJ11A,SUZUKI, ﾊﾔﾌﾞｻ,スポーツ/ツアラー,1300.0
208,8BL-EJ800B,KAWASAKI, MEGURO K3,ネイキッド,800.0
209,8BL-EJ800E,KAWASAKI, W800,ネイキッド,800.0
210,8BL-EK1AA,SUZUKI, GSXS1000,ネイキッド,1000.0
211,8BL-ER650H,KAWASAKI, NINJA650,スポーツ/ツアラー,650.0
212,8BL-ER650M,KAWASAKI, Z650RS,ネイキッド,650.0
213,8BL-EX400L,KAWASAKI, Z400,ネイキッド,400.0
214,8BL-RD16,HONDA, XL750ﾄﾗﾝｻﾞﾙﾌﾟ,スポーツ/ツアラー,750.0
215,8BL-RH09,HONDA, NC750X,ネイキッド,750.0
216,8BL-RH1,Harley-Davidson, NIGHTSTER,ネイキッド,975.0
217,8BL-RH10,HONDA, XADV,スクーター/ビッグスクーター,750.0
218,8BL-RH4,Harley-Davidson, RH1250S,ネイキッド,1250.0
219,8BL-RM33J,YAMAHA, MT07,ネイキッド,700.0
220,8BL-RM39J,YAMAHA, YZFR7,スポーツ/ツアラー,700.0
221,8BL-RM41J,YAMAHA, XSR700,ネイキッド,700.0
222,8BL-RN65J,YAMAHA, YZFR1,スポーツ/ツアラー,1000.0
223,8BL-RN69J,YAMAHA, MT09,ネイキッド,900.0
224,8BL-RN70J,YAMAHA, ﾄﾚｰｻｰ9GT,ネイキッド,850.0
225,8BL-RN80J,YAMAHA, XSR900,ネイキッド,900.0
226,8BL-SC54,HONDA, CB1300Super,スポーツ/ツアラー,1300.0
227,8BL-SC83,HONDA, ﾚﾌﾞﾙ1100,ネイキッド,1100.0
228,8BL-SC84,HONDA, NT1100,スポーツ/ツアラー,1100.0
229,8BL-SC85,HONDA, HAWK 11,ネイキッド,1100.0
230,8BL-SJ19J,YAMAHA, TMAX560,スクーター/ビッグスクーター,560.0
231,8BL-STJ,Harley-Davidson, Softail Standard  FXST1750 ,アメリカン/クルーザー,1750.0
232,8BL-VP55E,SUZUKI, SV650,ネイキッド,650.0
233,8BL-ZR900K,KAWASAKI, Z900RS,ネイキッド,950.0
234,8BL-ZXT02L,KAWASAKI, NINJA,スポーツ/ツアラー,1000.0
235,A-5AU,YAMAHA, ﾋﾞｰﾉ,スクーター/ビッグスクーター,50.0
236,A-AB26,HONDA, ﾀﾞｯｸｽ50 ,ネイキッド,50.0
237,A-AC10,HONDA, NSR50 ﾁｬﾝﾊﾞｰ,スポーツ/ツアラー,50.0
238,A-AC12,HONDA, NS1,スポーツ/ツアラー,50.0
239,A-AC13,HONDA, MAGNA FIFTY,アメリカン/クルーザー,50.0
240,A-AF24,HONDA, ｼﾞｮﾙﾉ,スクーター/ビッグスクーター,50.0
241,A-C50,HONDA, ﾘﾄﾙｶﾌﾞ,ネイキッド,50.0
242,A-Z50J,HONDA, ﾓﾝｷｰ,ネイキッド,50.0
243,A101,Italjet, ITALJET,アメリカン/クルーザー,125.0
244,A201,Italjet, ITALJET,スクーター/ビッグスクーター,200.0
245,AB12,HONDA, ﾓﾄｺﾝﾎﾟ,スクーター/ビッグスクーター,50.0
246,AB22,HONDA, ﾓﾝｷｰR,ネイキッド,50.0
247,AC09,HONDA, JAZZ,アメリカン/クルーザー,50.0
248,AC15,HONDA, ﾄﾞﾘｰﾑ50,ネイキッド,50.0
249,AF09,HONDA, ﾀｸﾄ,スクーター/ビッグスクーター,50.0
250,B320,MV Agusta, BRUTALE 800,ネイキッド,800.0
251,B61,SUZUKI, GSXR1000,スポーツ/ツアラー,1000.0
252,B700AA,SWM, ｴｰｽｵﾌﾞｽﾍﾟｰﾄﾞ125,ネイキッド,125.0
253,BA-AA01,HONDA, ﾘﾄﾙｶﾌﾞ,ネイキッド,50.0
254,BA-AB27,HONDA, ﾓﾝｷｰ,ネイキッド,50.0
255,BA-AC13,HONDA, MAGNA50,アメリカン/クルーザー,50.0
256,BA-AC16,HONDA, ｴｲﾌﾟ50,ネイキッド,50.0
257,BA-AC17,HONDA, Solo,ネイキッド,50.0
258,BA-AD14,HONDA, XR50 Motard,オフロード/モタード,50.0
259,BA-AF58,HONDA, ｽﾞｰﾏｰ,スクーター/ビッグスクーター,50.0
260,BA-AF61,HONDA, ﾄｩﾃﾞｲ,スクーター/ビッグスクーター,50.0
261,BA-BJ250A,KAWASAKI, ｴｽﾄﾚﾔRS,ネイキッド,250.0
262,BA-BJ250F,KAWASAKI, 250TR,ネイキッド,250.0
263,BA-CD50,HONDA, ﾍﾞﾝﾘｨCD50S,ネイキッド,50.0
264,BA-DG07J,YAMAHA, TW200,オフロード/モタード,200.0
265,BA-DG08J,YAMAHA, ｾﾛｰ225WE,オフロード/モタード,225.0
266,BA-DG09J,YAMAHA, TW225E,オフロード/モタード,225.0
267,BA-DG10J,YAMAHA, ﾄﾘｯｶｰ,オフロード/モタード,250.0
268,BA-DG11J,YAMAHA, ｾﾛｰ250,オフロード/モタード,250.0
269,BA-KL250G,KAWASAKI, ｽｰﾊﾟｰｼｪﾙﾊﾟ,オフロード/モタード,250.0
270,BA-MC29,HONDA, VTWIN MAGNA,アメリカン/クルーザー,250.0
271,BA-MC31,HONDA, HORNET250,ネイキッド,250.0
272,BA-MC33,HONDA, VTR 250,ネイキッド,250.0
273,BA-MC34,HONDA, FTR223,オフロード/モタード,223.0
274,BA-MD30,HONDA, XR250,オフロード/モタード,250.0
275,BA-MD36,HONDA, XR230,オフロード/モタード,230.0
276,BA-MF04,HONDA, ﾌｫｰｻｲﾄ･EX ,スクーター/ビッグスクーター,250.0
277,BA-MF06,HONDA, ｽﾋﾟｰﾄﾞﾌｫﾙﾂｧ,スクーター/ビッグスクーター,250.0
278,BA-MF08,HONDA, ﾌｫﾙﾂｧZ,スクーター/ビッグスクーター,250.0
279,BA-MF09,HONDA, PS250,スクーター/ビッグスクーター,250.0
280,BA-NA41A,SUZUKI, GS50,ネイキッド,50.0
281,BA-NH41A,SUZUKI, VanVan 200,ネイキッド,200.0
282,BA-NJ47A,SUZUKI, ｸﾞﾗｽﾄﾗｯｶｰﾋﾞｯｸﾞﾎﾞｰｲ,ネイキッド,250.0
283,BA-NJ4AA,SUZUKI, ST250,ネイキッド,250.0
284,BA-NJ4BA,SUZUKI, ｸﾞﾗｽﾄﾗｯｶｰ,ネイキッド,250.0
285,BA-SA26J,YAMAHA, Vino,スクーター/ビッグスクーター,50.0
286,BA-SG03J,YAMAHA, ﾏｼﾞｪｽﾃｨ250,スクーター/ビッグスクーター,250.0
287,BA-SG17J,YAMAHA, MAXAM,スクーター/ビッグスクーター,250.0
288,BA-SH42A,SUZUKI, DJEBEL 200,オフロード/モタード,200.0
289,BA-SJ45A,SUZUKI, ｼﾞｪﾍﾞﾙ250XC,オフロード/モタード,250.0
290,BA-VG02J,YAMAHA, ﾄﾞﾗｯｸﾞｽﾀｰ250,アメリカン/クルーザー,250.0
291,BA-VJ51A,SUZUKI, ｲﾝﾄﾙｰﾀﾞｰ250LC,アメリカン/クルーザー,250.0
292,BA-ZR250C,SUZUKI, GSX250FX,ネイキッド,250.0
